location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Slovenia,1990,0.514420467234998,0.9011578048934563,Europe,0.49741868869385647,0.3301217038539554,0.2389937106918239,0.38830162085976033,0.4399747666390039,14.0
Poland,1990,0.4058752307803748,0.8510696987315736,Europe,0.5201342281879194,0.38945233265720075,0.29481132075471705,0.3276955602536998,0.4373377701319532,15.0
Albania,1990,0.9298179758069464,0.809843728452531,Europe,0.32214765100671133,0.25583164300202843,0.2696540880503145,0.23044397463002111,0.42031914656644936,16.0
Tajikistan,1990,0.6633354742553739,0.8111837498080081,Europe,0.6130614352090862,0.37018255578093306,0.0738993710691824,0.09443269908386187,0.4182884118148063,17.0
Spain,1990,0.5795886179679753,0.6667282869377253,Europe,0.4922560660815694,0.11384381338742394,0.7185534591194969,0.17758985200845664,0.4170772612136056,18.0
Bosnia and Herzegovina,1990,0.8106742830450274,0.8737443857894436,Europe,0.37454827052142486,0.30248478701825554,0.12657232704402518,0.21423537702607467,0.4058878626234814,19.0
Croatia,1990,0.32224880318574733,0.9408603917425244,Europe,0.5085183273102736,0.29682217714672077,0.2845911949685535,0.3206483439041578,0.4054353560340296,20.0
Austria,1990,0.35005719291241255,0.5588158648192214,Europe,0.7429013939081053,0.21678498985801214,0.339622641509434,0.24524312896405914,0.40255800018529714,21.0
Hungary,1990,-2.220446049250313e-16,0.9114486640855308,Europe,0.7253484770263293,0.3346010818120352,0.2397798742138365,0.1508104298801973,0.37609032000140835,22.0
Cyprus,1990,0.602781621446226,0.6087859844606838,Europe,0.35880227155394934,0.1402974983096687,0.07861635220125787,0.3735024665257223,0.3252080036846721,23.0
Oman,1990,1.0,0.7098919791658658,Eastern Mediterranean,0.17733608673205986,0.07336037863421233,0.09276729559748428,0.024665257223396752,0.2888781915332234,24.0
Malaysia,1990,0.9852386938299086,0.579930916485013,Western Pacific,0.0678884873515746,0.0,0.03773584905660377,0.04933051444679351,0.22944739296919772,25.0
Ecuador,1990,0.9426623072830632,0.06957696601394003,Americas,0.20753742901393904,0.006592292089249496,0.0,0.09302325581395349,0.20899959208584165,26.0
Zimbabwe,1990,0.6469110939162606,0.0,Africa,0.0,0.0010987153482082679,0.009433962264150945,0.0,0.09979892287087758,27.0
Iceland,1991,0.7607372198904286,0.6003874977476227,Europe,0.6701664532650446,0.9700504176386483,0.6399082568807338,0.6442577030812325,0.7286261672485068,1.0
Sweden,1991,0.31754596850389827,0.6094603609854412,Europe,0.8017925736235594,0.9999999999999999,0.45030581039755346,1.0,0.726954328719539,2.0
Finland,1991,0.4394149722109332,0.6391664384164124,Europe,0.728271446862996,0.7743998795996688,0.9999999999999999,0.5917366946778712,0.7057540375981285,3.0
Azerbaijan,1991,0.6534157364889506,1.0,Europe,0.9259923175416132,0.8255700203175558,0.44724770642201833,0.20238095238095238,0.6981350408043508,4.0
