,Region,Location,Period,"Medical Doctors per 10,000","Nurses and Midwifes per 10,000","Pharmacists per 10,000","Dentists per 10,000"
1815,Europe,Republic of Moldova,2003,23.26,54.89,3.13,3.35
1816,Europe,Luxembourg,2003,23.77,91.88,7.11,6.49
1817,Europe,Poland,2003,24.34,52.99,6.65,2.9
1818,Europe,Armenia,2003,24.39,49.04,0.31,2.07
1819,Europe,Kyrgyzstan,2003,25.01,66.33,0.27,1.92
1820,Europe,Croatia,2003,25.12,51.95,5.45,7.16
1821,Europe,Turkmenistan,2003,25.51,75.46,2.55,2.02
1822,Europe,Finland,2003,25.64,270.583,16.46,9.53
1823,Europe,Ireland,2003,25.72,147.72,8.48,5.44
1824,Europe,Netherlands,2003,25.94,80.54,1.73,4.01
1825,Western Pacific,Australia,2003,26.15,98.88,7.92,4.71
1826,Europe,Serbia,2003,27.07,58.34,2.47,4.63
1827,Europe,Uzbekistan,2003,27.86,107.91,0.3,2.09
1828,Europe,Latvia,2003,28.3,49.16,5.56,5.56
1829,Europe,Estonia,2003,29.96,64.3,5.66,8.22
1830,Europe,Malta,2003,30.72,53.75,19.6,4.09
1831,South-East Asia,Democratic People's Republic of Korea,2003,30.97,38.78,3.03,1.64
1832,Europe,Slovakia,2003,31.48,68.02,4.72,4.35
1833,Europe,Spain,2003,32.0,44.13,7.58,4.71
1834,Europe,Norway,2003,32.3,146.75,5.06,8.13
1835,Europe,Sweden,2003,32.83,108.1,7.47,8.14
1836,Europe,Belarus,2003,33.03,96.61,2.96,4.4
1837,Europe,Portugal,2003,33.42,41.94,4.9,5.34
1838,Europe,Germany,2003,33.69,92.07,5.84,7.67
1839,Europe,France,2003,33.96,72.95,10.91,7.1
1840,Europe,Kazakhstan,2003,34.68,64.01,6.6,3.31
1841,Europe,Czechia,2003,35.09,84.06,5.47,6.57
1842,Europe,Andorra,2003,35.11,30.94,9.78,6.33
1843,Europe,Azerbaijan,2003,35.34,82.54,2.19,2.71
1844,Europe,Italy,2003,36.04,54.54,11.45,5.37
1845,Europe,Iceland,2003,36.15,143.79,10.95,9.95
1846,Europe,Switzerland,2003,36.58,128.54,6.23,4.91
1847,Europe,Lithuania,2003,36.69,76.54,6.65,6.72
1848,Europe,Israel,2003,36.99,56.64,6.1,9.48
1849,Europe,Hungary,2003,37.83,59.84,5.07,5.29
1850,Europe,Georgia,2003,39.7,43.92,0.91,3.45
1851,Western Pacific,Fiji,2003,4.39,19.16,1.04,0.69
1852,Europe,Austria,2003,41.44,58.87,5.99,4.97
1853,Europe,Russian Federation,2003,47.05,70.96,0.65,2.93
1854,Europe,Denmark,2003,51.22,104.74,4.47,8.52
1855,Western Pacific,Malaysia,2003,7.37,22.46,1.26,0.98
1856,Americas,Trinidad and Tobago,2003,7.75,29.73,3.92,1.86
1857,Europe,Ukraine,2003,70.05,64.8,0.26,4.52
1858,Americas,Ecuador,2003,8.08,15.23,0.37,1.66
1859,Africa,Mauritius,2003,9.44,23.82,2.25,1.24
1860,Africa,United Republic of Tanzania,2002,0.23,3.68,0.03,0.04
1861,Africa,Madagascar,2002,1.3,2.99,0.01,0.07
1862,Western Pacific,Philippines,2002,10.88,41.8,5.58,5.2
1863,Africa,Algeria,2002,11.14,21.97,1.71,2.79
1864,Europe,Albania,2002,11.67,36.6,3.48,4.28
1865,Western Pacific,Brunei Darussalam,2002,11.76,62.34,0.88,2.06
1866,Americas,Paraguay,2002,12.08,19.5,1.61,4.61
1867,Europe,Bosnia and Herzegovina,2002,13.0,40.09,0.89,1.64
1868,Americas,Colombia,2002,13.21,5.7,0.69,7.99
1869,Europe,Turkey,2002,13.71,16.98,3.32,2.44
1870,Eastern Mediterranean,Syrian Arab Republic,2002,14.35,19.18,5.76,8.36
1871,Western Pacific,Republic of Korea,2002,15.0,36.39,11.24,3.3
1872,Eastern Mediterranean,United Arab Emirates,2002,17.61,33.39,4.08,2.91
1873,Europe,Cyprus,2002,18.7,30.51,1.47,6.62
1874,Western Pacific,Japan,2002,19.76,86.0,12.11,7.1
1875,South-East Asia,Thailand,2002,2.95,13.18,1.14,0.7
1876,Europe,Tajikistan,2002,20.08,37.98,1.04,1.46
1877,Eastern Mediterranean,Jordan,2002,20.86,26.72,10.62,4.24
1878,Europe,Romania,2002,21.04,56.69,3.26,3.84
1879,Western Pacific,New Zealand,2002,21.24,93.89,9.77,3.93
1880,Europe,North Macedonia,2002,22.04,36.78,1.55,5.7
1881,Europe,Slovenia,2002,22.29,71.71,3.91,6.02
1882,Europe,Luxembourg,2002,22.56,79.91,6.94,6.45
1883,Europe,Poland,2002,23.04,54.31,6.39,2.82
1884,Europe,Republic of Moldova,2002,23.3,55.89,3.23,3.29
1885,Europe,Ireland,2002,24.04,152.95,8.0,5.35
1886,Europe,Croatia,2002,24.59,51.76,5.31,7.03
1887,Europe,Kyrgyzstan,2002,25.23,68.39,0.27,2.06
1888,Europe,Finland,2002,25.27,259.697,15.97,9.6
1889,Europe,Armenia,2002,25.45,50.93,0.35,1.92
1890,Western Pacific,Australia,2002,25.46,98.93,6.58,4.78
1891,Europe,Netherlands,2002,25.53,78.81,1.65,3.96
1892,Europe,Turkmenistan,2002,26.57,71.95,2.6,2.09
1893,Western Pacific,Mongolia,2002,27.29,35.3,3.6,1.26
1894,Europe,Latvia,2002,27.88,47.65,6.39,5.46
1895,Europe,Uzbekistan,2002,28.49,108.53,0.3,2.11
1896,Europe,Estonia,2002,29.64,63.19,5.47,7.82
1897,Europe,Andorra,2002,30.53,32.93,10.08,6.32
1898,Europe,Spain,2002,31.05,42.0,7.77,4.62
1899,Europe,Slovakia,2002,32.01,71.32,4.55,4.35
1900,Europe,Malta,2002,32.1,53.8,19.95,3.92
1901,Europe,Sweden,2002,32.12,106.95,7.42,8.17
1902,Europe,Norway,2002,32.18,142.24,4.82,8.09
1903,Europe,Belarus,2002,32.75,97.67,2.9,4.43
1904,Europe,Portugal,2002,32.91,40.14,4.49,5.03
1905,Europe,Germany,2002,33.38,90.17,5.89,7.59
1906,Europe,France,2002,33.81,68.62,10.77,7.1
1907,Europe,Kazakhstan,2002,34.27,63.58,4.13,3.2
1908,Europe,Czechia,2002,34.91,84.42,5.27,6.54
1909,Europe,Azerbaijan,2002,35.41,83.03,2.73,2.79
1910,Europe,Switzerland,2002,35.61,123.19,6.32,4.81
1911,Europe,Iceland,2002,35.78,139.92,10.85,10.01
1912,Europe,Hungary,2002,36.79,58.98,5.0,4.78
1913,Europe,Israel,2002,36.98,57.97,6.42,8.87
1914,Europe,Lithuania,2002,37.02,77.92,6.11,6.5
1915,Europe,Georgia,2002,39.28,43.99,0.91,3.4
1916,Europe,Austria,2002,40.6,58.81,5.82,4.9
1917,Europe,Russian Federation,2002,46.76,70.61,0.6,2.96
1918,Europe,Denmark,2002,50.57,105.58,4.39,8.52
1919,Western Pacific,Tuvalu,2002,6.25,40.63,1.04,2.08
1920,Western Pacific,Malaysia,2002,7.24,21.5,1.17,0.95
1921,Americas,Trinidad and Tobago,2002,7.91,28.64,3.76,1.65
1922,Europe,Ukraine,2002,70.14,64.65,0.25,4.5
1923,Americas,Ecuador,2002,8.49,16.28,0.38,1.7
1924,Europe,Italy,2002,93.44,58.17,11.17,5.4
1925,Americas,Colombia,2001,12.9,5.37,0.68,7.22
1926,Europe,Albania,2001,13.03,38.1,3.45,4.84
1927,Europe,Bosnia and Herzegovina,2001,13.03,39.51,0.84,1.63
1928,Europe,Turkey,2001,13.56,17.25,3.34,2.43
1929,Western Pacific,Republic of Korea,2001,13.97,34.04,11.03,3.13
1930,Western Pacific,Singapore,2001,14.39,42.27,2.77,2.64
1931,Americas,Barbados,2001,16.01,60.21,7.05,2.29
1932,Eastern Mediterranean,United Arab Emirates,2001,17.59,32.98,4.06,2.81
1933,Europe,Cyprus,2001,19.08,30.73,1.35,6.58
1934,Eastern Mediterranean,Jordan,2001,19.33,28.94,9.07,5.22
1935,Europe,Romania,2001,19.88,54.73,3.23,3.75
1936,South-East Asia,Thailand,2001,2.98,12.26,1.08,0.68
1937,Europe,Tajikistan,2001,20.95,38.41,1.06,1.44
1938,Europe,North Macedonia,2001,21.58,35.35,1.5,5.45
1939,Europe,Slovenia,2001,21.74,71.34,3.84,5.92
1940,Western Pacific,New Zealand,2001,21.82,101.3,9.79,4.11
1941,Europe,Luxembourg,2001,22.09,76.75,6.68,6.23
1942,Europe,Poland,2001,22.67,54.47,6.22,2.65
1943,Europe,Republic of Moldova,2001,22.91,55.31,3.33,3.11
1944,Europe,Ireland,2001,23.73,147.71,8.19,5.19
1945,Europe,Croatia,2001,24.53,51.58,5.2,7.02
1946,Europe,Netherlands,2001,24.94,106.14,1.61,3.93
1947,Europe,Finland,2001,25.0,247.887,15.72,9.66
1948,Western Pacific,Australia,2001,25.51,105.02,6.51,4.75
1949,Europe,Armenia,2001,25.9,53.93,0.31,1.67
1950,Eastern Mediterranean,Lebanon,2001,26.14,9.44,7.63,9.73
1951,Europe,Kyrgyzstan,2001,26.38,72.63,0.29,2.12
1952,Europe,Andorra,2001,26.56,32.47,9.71,6.37
1953,Europe,Latvia,2001,26.86,47.14,6.21,5.3
1954,Europe,Turkmenistan,2001,27.02,85.14,3.04,2.25
1955,Europe,Estonia,2001,27.83,61.25,5.76,8.08
1956,Europe,Uzbekistan,2001,29.11,108.85,0.27,2.11
1957,Western Pacific,Tonga,2001,3.39,33.01,1.65,3.2
1958,Europe,Spain,2001,31.06,39.95,7.77,4.49
1959,Europe,Sweden,2001,31.21,104.79,7.39,8.11
1960,Europe,Slovakia,2001,32.23,72.63,4.25,4.41
1961,Europe,Belarus,2001,32.52,96.53,3.02,4.42
1962,Europe,Hungary,2001,32.55,57.32,4.94,3.58
1963,Europe,Kazakhstan,2001,32.93,61.79,3.03,2.78
1964,Europe,Germany,2001,33.1,89.1,5.82,7.57
1965,Europe,France,2001,33.58,69.72,10.53,7.12
1966,Europe,Czechia,2001,34.42,83.17,5.08,6.55
1967,Europe,Iceland,2001,34.73,139.04,9.89,10.0
1968,Europe,Italy,2001,34.87,57.55,11.0,5.41
1969,Europe,Switzerland,2001,35.14,119.08,6.27,4.75
1970,Europe,Azerbaijan,2001,35.25,84.94,2.6,2.73
1971,Europe,Lithuania,2001,36.28,79.55,6.2,6.95
1972,Europe,Israel,2001,36.93,58.78,6.71,8.2
1973,Europe,Georgia,2001,37.93,43.97,0.94,3.17
1974,Europe,Austria,2001,39.89,57.81,5.7,4.82
1975,Europe,Russian Federation,2001,46.39,69.99,0.57,2.96
1976,Europe,Denmark,2001,49.07,104.19,4.35,8.6
1977,Americas,Saint Vincent and the Grenadines,2001,5.46,41.94,2.03,1.85
1978,Western Pacific,Malaysia,2001,6.86,21.1,1.09,0.95
1979,Europe,Ukraine,2001,70.27,64.79,0.27,4.48
1980,Americas,Ecuador,2001,8.51,15.84,0.38,1.64
1981,Western Pacific,Cook Islands,2001,9.21,34.21,1.32,6.58
1982,Americas,Trinidad and Tobago,2001,9.31,26.65,3.82,1.65
1983,Africa,Guinea,2000,0.91,4.51,0.17,0.02
1984,Western Pacific,Cambodia,2000,1.64,8.93,0.45,0.17
1985,Western Pacific,Republic of Korea,2000,13.02,30.0,10.83,3.08
1986,Europe,Turkey,2000,13.03,16.99,3.35,2.43
1987,Europe,Bosnia and Herzegovina,2000,13.12,40.3,0.91,1.74
1988,Americas,Costa Rica,2000,13.22,11.84,2.91,3.73
1989,Eastern Mediterranean,Syrian Arab Republic,2000,13.47,19.28,5.33,6.71
1990,Europe,Albania,2000,13.66,39.7,3.39,4.6
1991,Eastern Mediterranean,Oman,2000,14.28,34.31,2.17,1.15
1992,Eastern Mediterranean,United Arab Emirates,2000,16.16,30.51,3.92,2.3
1993,Eastern Mediterranean,Jordan,2000,17.78,28.9,8.04,5.36
1994,Europe,Cyprus,2000,18.99,30.93,1.27,6.53
1995,Europe,Romania,2000,19.61,53.94,3.18,3.61
1996,Europe,Tajikistan,2000,21.48,41.36,1.08,1.47
1997,Europe,Luxembourg,2000,21.51,76.06,6.42,5.96
1998,Europe,Slovenia,2000,21.54,68.62,3.76,5.83
1999,Europe,North Macedonia,2000,21.66,35.24,1.51,5.49
2000,Europe,Ireland,2000,22.19,139.57,8.01,4.99
2001,Europe,Poland,2000,22.23,55.32,5.79,3.07
2002,Western Pacific,New Zealand,2000,22.33,95.85,9.78,4.12
2003,Europe,Croatia,2000,24.13,51.22,4.95,6.88
2004,Europe,Netherlands,2000,24.23,103.1,1.54,3.9
2005,Europe,Republic of Moldova,2000,24.37,56.22,3.12,3.14
2006,Western Pacific,Australia,2000,24.76,100.13,8.0,4.54
2007,Europe,Finland,2000,24.99,80.02,15.43,9.71
2008,Europe,Andorra,2000,25.57,33.03,9.74,6.55
2009,Americas,United States of America,2000,25.96,101.93,7.56,4.77
2010,Europe,Armenia,2000,26.52,58.03,0.34,2.37
2011,Europe,Turkmenistan,2000,27.08,86.34,3.21,2.37
2012,Europe,Kyrgyzstan,2000,27.46,77.88,0.28,2.23
2013,Europe,Latvia,2000,28.79,47.82,6.06,5.22
2014,Europe,Estonia,2000,29.42,61.99,5.83,7.54
2015,Europe,Uzbekistan,2000,29.61,108.95,0.27,2.06
2016,Europe,Hungary,2000,30.12,54.94,4.81,3.24
2017,Europe,Sweden,2000,30.26,103.23,7.3,8.07
2018,Europe,Spain,2000,31.01,36.57,7.11,4.28
2019,Europe,Kazakhstan,2000,31.58,59.43,2.94,2.55
2020,Europe,Slovakia,2000,32.38,74.49,3.66,4.43
2021,Europe,Germany,2000,32.63,88.27,5.86,7.51
2022,Europe,Belarus,2000,32.68,95.49,3.2,4.49
2023,Europe,France,2000,33.28,68.15,10.31,7.16
2024,Europe,Czechia,2000,33.8,80.81,4.94,6.5
2025,Europe,Italy,2000,34.24,57.07,10.98,5.59
2026,Europe,Iceland,2000,34.41,139.85,9.6,10.06
2027,Europe,Switzerland,2000,35.1,118.74,6.19,4.83
2028,Europe,Azerbaijan,2000,35.52,86.06,2.9,2.73
2029,Europe,Lithuania,2000,36.26,80.23,5.93,6.85
2030,Europe,Israel,2000,36.97,58.23,6.55,8.18
2031,Europe,Georgia,2000,38.67,47.38,0.99,3.48
2032,Europe,Austria,2000,38.76,57.34,5.66,4.65
2033,Europe,Russian Federation,2000,46.36,8.24,0.58,2.97
2034,Europe,Denmark,2000,48.68,103.05,4.08,8.58
2035,Americas,Honduras,2000,5.59,12.97,0.53,1.74
2036,Western Pacific,Malaysia,2000,6.8,20.49,1.02,0.93
2037,Europe,Ukraine,2000,70.24,65.0,0.29,4.51
2038,Americas,Ecuador,2000,8.12,16.22,0.38,1.63
2039,Americas,Trinidad and Tobago,2000,9.66,24.96,4.17,1.5
2040,Western Pacific,Solomon Islands,1999,1.25,8.39,0.65,0.6
2041,Eastern Mediterranean,Djibouti,1999,1.28,6.81,0.11,0.08
2042,Europe,Turkey,1999,12.33,16.99,3.4,2.16
2043,Eastern Mediterranean,Syrian Arab Republic,1999,13.18,18.8,5.05,6.59
2044,Western Pacific,Singapore,1999,13.43,40.2,2.63,2.38
2045,Americas,Ecuador,1999,13.69,16.49,0.34,1.6
2046,Eastern Mediterranean,Jordan,1999,18.36,27.82,7.25,5.14
2047,Europe,Cyprus,1999,18.92,31.68,1.22,6.49
2048,South-East Asia,Thailand,1999,2.91,10.92,0.97,0.65
2049,Europe,Tajikistan,1999,20.88,42.99,1.18,1.44
2050,Europe,Slovenia,1999,21.28,68.8,3.46,5.86
2051,Western Pacific,New Zealand,1999,22.46,95.87,9.78,4.06
2052,Europe,Ireland,1999,22.57,135.74,7.69,4.78
2053,Europe,Poland,1999,22.86,57.42,5.71,3.46
2054,Europe,Netherlands,1999,23.61,101.7,1.53,3.85
2055,Europe,Croatia,1999,23.8,49.5,4.74,6.65
2056,Western Pacific,Australia,1999,24.33,101.22,6.26,4.7
2057,Europe,Luxembourg,1999,24.96,75.37,6.42,6.26
2058,Europe,Latvia,1999,27.17,49.17,6.75,4.69
2059,Europe,Sweden,1999,29.66,102.47,6.64,8.17
2060,Europe,Estonia,1999,29.92,63.32,5.74,7.55
2061,Europe,Spain,1999,30.19,34.95,6.28,4.14
2062,Europe,Czechia,1999,30.88,78.54,4.67,6.27
2063,Europe,Belarus,1999,32.59,95.4,3.17,4.47
2064,Europe,Kazakhstan,1999,32.71,64.43,2.33,3.84
2065,Europe,France,1999,33.13,66.21,10.04,7.22
2066,Europe,Iceland,1999,33.81,141.53,9.95,10.02
2067,Europe,Bulgaria,1999,35.03,62.9,1.68,5.77
2068,Europe,Azerbaijan,1999,35.16,88.29,3.07,2.77
2069,Europe,Hungary,1999,35.6,56.01,4.66,4.51
2070,Europe,Finland,1999,36.713,164.82,15.19,9.7
2071,Europe,Lithuania,1999,37.16,83.47,5.92,6.5
2072,Europe,Israel,1999,37.28,55.95,6.22,9.53
2073,Europe,Georgia,1999,38.73,50.01,1.09,3.87
2074,Europe,Russian Federation,1999,46.35,3.75,0.5,2.73
2075,Europe,Denmark,1999,47.21,93.58,4.29,8.62
2076,Western Pacific,Malaysia,1999,6.91,19.27,1.03,0.85
2077,Europe,Austria,1999,68.51,56.08,5.55,4.59
2078,Americas,Trinidad and Tobago,1999,8.91,27.76,3.8,1.44
2079,Western Pacific,Cambodia,1998,1.42,9.69,0.34,0.06
2080,Europe,Turkey,1998,11.78,17.03,3.34,2.06
2081,Americas,Ecuador,1998,13.07,16.26,0.31,1.54
2082,Eastern Mediterranean,Syrian Arab Republic,1998,13.2,22.86,5.02,6.62
2083,Europe,Cyprus,1998,18.82,32.12,1.24,6.42
2084,South-East Asia,Thailand,1998,2.92,10.36,0.96,0.64
2085,Europe,Tajikistan,1998,20.32,43.43,1.2,1.84
2086,Europe,Ireland,1998,21.83,130.9,7.44,4.62
2087,Europe,Slovenia,1998,21.89,67.54,3.4,5.91
2088,Western Pacific,New Zealand,1998,22.28,96.46,9.75,3.93
2089,Europe,Croatia,1998,23.17,48.01,4.61,6.66
2090,Europe,Finland,1998,23.2,158.96,14.91,9.67
2091,Europe,Poland,1998,23.51,61.98,5.28,4.52
2092,Western Pacific,Australia,1998,23.89,102.46,6.2,4.69
2093,Europe,Luxembourg,1998,24.45,74.59,6.18,6.18
2094,Europe,Andorra,1998,24.77,28.59,8.72,5.2
2095,Europe,Latvia,1998,27.39,48.02,6.38,4.14
2096,Europe,Spain,1998,28.95,34.47,5.66,3.97
2097,Europe,Sweden,1998,29.19,101.27,6.74,8.19
2098,Europe,Estonia,1998,29.46,64.17,5.51,7.41
2099,Americas,Argentina,1998,29.91,7.97,4.21,7.95
2100,Europe,Czechia,1998,30.39,78.14,4.44,6.22
2101,Europe,Uzbekistan,1998,30.62,108.72,0.31,2.43
2102,Europe,Belarus,1998,31.93,93.2,3.1,4.11
2103,Europe,France,1998,33.15,64.03,9.7,7.18
2104,Europe,Iceland,1998,33.16,142.58,12.19,9.89
2105,Europe,Kazakhstan,1998,33.99,67.94,2.63,2.42
2106,Europe,Bulgaria,1998,34.99,65.33,1.88,5.95
2107,Europe,Hungary,1998,35.26,56.98,4.67,4.39
2108,Europe,Azerbaijan,1998,35.48,89.41,3.26,2.84
2109,Europe,Lithuania,1998,37.23,92.06,5.84,6.27
2110,Europe,Georgia,1998,38.03,49.25,1.07,3.5
2111,Europe,Israel,1998,38.11,55.09,5.82,10.02
2112,Europe,Russian Federation,1998,46.05,3.87,0.49,2.73
2113,Europe,Denmark,1998,46.57,93.93,4.21,8.73
2114,Western Pacific,Malaysia,1998,6.86,18.38,0.97,0.96
2115,Europe,Austria,1998,68.54,54.58,5.44,4.54
2116,Americas,Trinidad and Tobago,1998,9.04,26.26,4.05,1.44
2117,Eastern Mediterranean,Jordan,1998,9.47,26.9,6.97,4.84
2118,Africa,Angola,1997,0.6,9.3,0.02,0.0
2119,Europe,Turkey,1997,11.38,16.78,3.25,1.99
2120,Eastern Mediterranean,Libya,1997,12.58,35.1,2.42,1.37
2121,Eastern Mediterranean,Syrian Arab Republic,1997,12.76,21.9,4.7,6.33
2122,Americas,Brazil,1997,12.95,20.62,3.37,6.16
2123,Americas,Ecuador,1997,13.19,16.96,0.29,1.57
2124,Europe,Cyprus,1997,18.77,32.32,1.26,6.38
2125,Europe,Tajikistan,1997,19.18,47.09,1.24,1.55
2126,Eastern Mediterranean,Yemen,1997,2.13,3.71,0.33,0.14
2127,South-East Asia,Thailand,1997,2.73,9.28,0.98,0.56
2128,Europe,Ireland,1997,21.24,128.41,7.21,4.55
2129,Western Pacific,New Zealand,1997,21.77,90.06,9.62,3.9
2130,Europe,Slovenia,1997,22.35,67.09,5.32,5.87
2131,Europe,Croatia,1997,22.93,46.24,4.41,6.3
2132,Europe,Finland,1997,22.95,152.33,14.61,9.58
2133,Europe,Poland,1997,23.76,63.11,5.39,4.6
2134,Western Pacific,Australia,1997,23.88,103.66,6.14,4.64
2135,Europe,Luxembourg,1997,24.06,75.23,5.92,5.85
2136,Europe,Andorra,1997,24.42,26.89,8.66,7.42
2137,Europe,Spain,1997,28.42,34.64,6.0,3.78
2138,Europe,Sweden,1997,28.54,99.19,6.83,8.17
2139,Europe,Latvia,1997,28.66,50.55,6.7,4.41
2140,Europe,Czechia,1997,31.19,78.29,4.28,6.29
2141,Europe,Belarus,1997,31.33,79.5,2.98,3.94
2142,Europe,Estonia,1997,31.89,64.75,5.41,7.34
2143,Europe,Kazakhstan,1997,32.41,71.65,2.41,2.63
2144,Europe,Iceland,1997,32.6,138.5,12.13,10.47
2145,Europe,Hungary,1997,34.52,55.61,4.64,3.72
2146,Europe,Bulgaria,1997,34.87,64.93,1.93,6.38
2147,Europe,Azerbaijan,1997,36.38,94.0,5.8,3.06
2148,Europe,Georgia,1997,36.63,48.75,1.05,3.64
2149,Europe,Lithuania,1997,37.6,92.93,5.82,5.89
2150,Europe,Israel,1997,37.78,54.19,6.32,9.45
2151,Europe,Denmark,1997,44.95,92.78,4.13,8.62
2152,Europe,Russian Federation,1997,45.55,3.53,0.6,2.69
2153,Western Pacific,Malaysia,1997,6.67,14.33,0.82,0.87
2154,Europe,Austria,1997,65.97,53.73,5.35,4.54
2155,Americas,Trinidad and Tobago,1997,7.27,22.14,3.97,1.23
2156,Western Pacific,Cambodia,1996,1.15,10.77,0.3,0.06
2157,Europe,Turkey,1996,11.16,16.36,3.16,1.96
2158,Americas,Ecuador,1996,13.03,16.84,0.28,1.54
2159,Western Pacific,Niue,1996,13.04,56.52,4.35,8.7
2160,Europe,Cyprus,1996,18.69,32.38,1.24,6.33
2161,Europe,Tajikistan,1996,19.72,47.73,1.32,1.58
2162,Western Pacific,New Zealand,1996,20.47,97.34,9.76,3.66
2163,Europe,Ireland,1996,20.95,123.19,7.0,4.42
2164,Europe,Slovenia,1996,21.4,65.69,5.25,5.68
2165,Europe,Croatia,1996,22.16,43.57,4.04,6.07
2166,Europe,Finland,1996,22.6,145.45,14.41,9.44
2167,Europe,Luxembourg,1996,23.15,73.64,6.09,5.58
2168,Europe,Poland,1996,23.68,62.55,5.25,4.66
2169,Western Pacific,Australia,1996,23.9,113.83,6.08,4.66
2170,Europe,Spain,1996,27.24,33.88,5.8,3.7
2171,Europe,Sweden,1996,28.38,99.84,6.83,8.42
2172,Europe,Czechia,1996,29.9,78.62,3.96,6.09
2173,Europe,Belarus,1996,30.84,78.59,2.59,3.82
2174,Europe,Georgia,1996,30.86,46.84,0.94,3.59
2175,Europe,Estonia,1996,31.07,66.33,5.02,6.98
2176,Europe,Iceland,1996,31.19,130.93,11.64,10.3
2177,Europe,Kyrgyzstan,1996,31.28,88.98,0.49,2.36
2178,Europe,Hungary,1996,34.0,56.54,3.98,3.57
2179,Europe,Kazakhstan,1996,35.3,82.08,1.32,3.68
2180,Europe,Bulgaria,1996,35.69,69.56,2.19,6.63
2181,Europe,Israel,1996,36.85,54.79,6.55,8.85
2182,Europe,Lithuania,1996,37.2,94.84,5.79,4.64
2183,Europe,Azerbaijan,1996,37.29,98.97,5.98,3.17
2184,Western Pacific,Malaysia,1996,4.89,14.3,0.82,0.86
2185,Europe,Denmark,1996,43.11,90.29,3.88,8.57
2186,Europe,Russian Federation,1996,45.19,3.28,0.65,2.65
2187,Europe,Austria,1996,63.96,52.47,5.25,4.41
2188,Americas,Trinidad and Tobago,1996,7.36,21.92,3.95,1.08
2189,Africa,Zimbabwe,1995,1.49,15.87,0.46,0.14
2190,Europe,Turkey,1995,11.12,16.67,3.11,1.89
2191,Eastern Mediterranean,Oman,1995,11.68,28.47,1.68,0.67
2192,Americas,Barbados,1995,13.66,51.91,6.45,1.91
2193,Europe,Cyprus,1995,18.63,32.7,1.37,6.29
2194,South-East Asia,Thailand,1995,2.4,9.18,0.99,0.49
2195,Europe,Tajikistan,1995,20.35,48.62,0.74,1.61
2196,Western Pacific,New Zealand,1995,20.49,97.22,9.61,3.66
2197,Europe,Ireland,1995,20.95,118.92,6.75,4.34
2198,Europe,Croatia,1995,21.05,41.72,3.84,5.78
2199,Europe,Slovenia,1995,21.21,63.91,4.88,6.36
2200,Europe,Finland,1995,21.91,138.52,14.33,9.32
2201,Europe,Andorra,1995,22.38,24.57,8.29,4.85
2202,Europe,Luxembourg,1995,22.39,71.36,5.76,5.46
2203,Europe,Poland,1995,23.31,61.53,5.07,4.64
2204,Western Pacific,Australia,1995,24.64,107.83,5.93,4.58
2205,Europe,Sweden,1995,28.17,99.96,6.74,8.65
2206,Europe,Czechia,1995,30.01,79.09,3.65,6.06
2207,Europe,Belarus,1995,30.18,77.88,2.45,3.62
2208,Europe,Iceland,1995,30.24,131.03,10.95,10.09
2209,Europe,Estonia,1995,31.56,68.48,4.98,6.4
2210,Europe,Hungary,1995,33.55,55.84,3.32,3.5
2211,Europe,Bulgaria,1995,34.78,69.02,2.25,6.56
2212,Europe,Kazakhstan,1995,35.94,89.35,0.69,4.01
2213,Europe,Lithuania,1995,36.86,94.49,5.91,4.7
2214,Europe,Israel,1995,37.04,81.03,5.45,10.82
2215,Europe,Azerbaijan,1995,37.85,102.27,5.8,3.23
2216,Western Pacific,Malaysia,1995,4.73,14.18,0.76,0.86
2217,Europe,Denmark,1995,42.39,89.49,4.04,8.54
2218,Europe,Spain,1995,42.82,42.98,10.33,3.5
2219,Europe,Russian Federation,1995,44.08,3.55,0.4,2.58
2220,Europe,Austria,1995,62.04,51.28,5.12,4.25
2221,Americas,Trinidad and Tobago,1995,9.13,28.85,4.12,1.04
2222,Europe,Turkey,1994,10.97,15.31,3.06,1.91
2223,Americas,Ecuador,1994,12.55,16.15,0.24,1.54
2224,Europe,Albania,1994,12.94,49.58,3.98,3.95
2225,Europe,Cyprus,1994,18.09,32.27,1.23,6.24
2226,Western Pacific,New Zealand,1994,19.83,95.76,9.71,3.62
2227,Europe,Ireland,1994,19.86,114.85,6.5,4.16
2228,Europe,Croatia,1994,20.55,45.13,3.67,5.54
2229,Europe,Tajikistan,1994,21.7,53.87,0.34,1.59
2230,Europe,Slovenia,1994,21.91,59.8,4.92,5.31
2231,Europe,Poland,1994,22.88,60.73,4.88,4.56
2232,Western Pacific,Australia,1994,24.25,114.4,5.94,4.35
2233,Europe,Czechia,1994,29.36,77.45,3.4,5.95
2234,Europe,Belarus,1994,29.87,73.71,3.47,3.56
2235,Europe,Iceland,1994,29.95,135.85,9.81,10.26
2236,Europe,Hungary,1994,29.97,57.04,3.2,3.51
2237,Europe,Finland,1994,32.778,131.67,14.11,9.06
2238,Europe,Bulgaria,1994,33.38,68.31,2.47,6.58
2239,Europe,Austria,1994,34.07,49.21,5.05,4.13
2240,Europe,Republic of Moldova,1994,34.95,107.62,6.62,4.34
2241,Europe,Kazakhstan,1994,35.73,91.68,6.51,3.98
2242,Europe,Sweden,1994,36.56,148.11,6.59,14.84
